run_id,date,turn,agent_id,selected_post_ids,post_id,title,post_type,reaction,author_badges,author_profile
chunk_007_2026-04-13_2026-04-17,2026-04-13,2,A001,"[3052, 3053, 3046, 3060, 3063]",3052,삼성전자: 반도체 슈퍼사이클과 노조 이슈의 균형,analysis,like,[],null
chunk_007_2026-04-13_2026-04-17,2026-04-13,2,A001,"[3052, 3053, 3046, 3060, 3063]",3053,"삼성전자, 단기 조정 가능성에 대한 생각",analysis,unlike,[],null
chunk_007_2026-04-13_2026-04-17,2026-04-13,2,A001,"[3052, 3053, 3046, 3060, 3063]",3046,오늘 삼성전자 매도했습니다,trade_share,read,[],null
chunk_007_2026-04-13_2026-04-17,2026-04-13,2,A001,"[3052, 3053, 3046, 3060, 3063]",3060,삼성전자 매수 거래 공유합니다!,trade_share,like,[],null
chunk_007_2026-04-13_2026-04-17,2026-04-13,2,A001,"[3052, 3053, 3046, 3060, 3063]",3063,[매도] 삼성전자 125주 매도 완료했습니다!,trade_share,read,[],null
chunk_007_2026-04-13_2026-04-17,2026-04-13,2,A003,"[3052, 3053, 3046, 3050, 3060]",3052,삼성전자: 반도체 슈퍼사이클과 노조 이슈의 균형,analysis,like,[],null
chunk_007_2026-04-13_2026-04-17,2026-04-13,2,A003,"[3052, 3053, 3046, 3050, 3060]",3053,"삼성전자, 단기 조정 가능성에 대한 생각",analysis,read,[],null
chunk_007_2026-04-13_2026-04-17,2026-04-13,2,A003,"[3052, 3053, 3046, 3050, 3060]",3046,오늘 삼성전자 매도했습니다,trade_share,like,[],null
chunk_007_2026-04-13_2026-04-17,2026-04-13,2,A003,"[3052, 3053, 3046, 3050, 3060]",3050,오늘 삼성전자 100주 매도했습니다.,trade_share,like,"[""상위 수익자"", ""자산가"", ""커뮤니티 인플루언서""]",null
chunk_007_2026-04-13_2026-04-17,2026-04-13,2,A003,"[3052, 3053, 3046, 3050, 3060]",3060,삼성전자 매수 거래 공유합니다!,trade_share,unlike,[],null
chunk_007_2026-04-13_2026-04-17,2026-04-13,2,A005,"[3052, 3053, 3049, 3050, 3060]",3052,삼성전자: 반도체 슈퍼사이클과 노조 이슈의 균형,analysis,like,[],null
