run_id,date,turn,subturn,stock_code,submitted_orders,announced_price,close_price,volume,fill_count
chunk_007_2026-04-13_2026-04-17,2026-04-13,1,am,005930,30,198200.0,201000.0,6312,30
chunk_007_2026-04-13_2026-04-17,2026-04-13,2,pm,005930,30,201000.0,201000.0,2604,30
chunk_007_2026-04-13_2026-04-17,2026-04-14,3,am,005930,30,208000.0,206500.0,2262,30
chunk_007_2026-04-13_2026-04-17,2026-04-14,4,pm,005930,30,206500.0,206500.0,1865,30
chunk_007_2026-04-13_2026-04-17,2026-04-15,5,am,005930,30,215000.0,211000.0,1364,30
chunk_007_2026-04-13_2026-04-17,2026-04-15,6,pm,005930,30,211000.0,211000.0,1173,30
chunk_007_2026-04-13_2026-04-17,2026-04-16,7,am,005930,30,212000.0,217500.0,1546,30
chunk_007_2026-04-13_2026-04-17,2026-04-16,8,pm,005930,30,217500.0,217500.0,1071,30
chunk_007_2026-04-13_2026-04-17,2026-04-17,9,am,005930,30,217000.0,216000.0,1151,30
chunk_007_2026-04-13_2026-04-17,2026-04-17,10,pm,005930,30,216000.0,216000.0,1113,30
