run_id,date,turn,agent_id,selected_post_ids,post_id,exposure_level,selected,is_best,anonymous_code,title,post_type,content,body_sha256,reaction,author_badges,author_profile,profile_scope,source_date,delivery_date,source_turn,delivery_turn,delivery_status,replay,provenance_id
simulation_20260730_142539_303644_68577,2026-02-27,2,A001,[2],2,title_only,True,False,곰-1801,오늘 삼성전자 흐름 메모,impression,,,,[],,candidate_minimal,2026-02-27,2026-02-27,2,2,candidate_seen_pm,False,community:2026-02-27:t2:post:2:title_only:A001
simulation_20260730_142539_303644_68577,2026-02-27,2,A003,[1],1,title_only,True,False,호랑이-8886,오늘 삼성전자 흐름 메모,impression,,,,"[""상위 수익자"", ""자산가"", ""커뮤니티 인플루언서""]",,candidate_minimal,2026-02-27,2026-02-27,2,2,candidate_seen_pm,False,community:2026-02-27:t2:post:1:title_only:A003
simulation_20260730_142539_303644_68577,2026-02-27,2,A001,[2],2,full_body,True,False,곰-1801,오늘 삼성전자 흐름 메모,impression,가격 흐름과 뉴스가 엇갈려 보입니다. 무리하지 않고 수량을 제한해 대응하겠습니다.,ad940d3974dd9a32b33e93cc32263c6301cde3e0615bed330ae9b3a07950b747,like,[],null,minimal,2026-02-27,2026-02-27,2,2,read_pm,False,community:2026-02-27:t2:post:2:selected_full_body:A001
simulation_20260730_142539_303644_68577,2026-02-27,2,A003,[1],1,full_body,True,False,호랑이-8886,오늘 삼성전자 흐름 메모,impression,가격 흐름과 뉴스가 엇갈려 보입니다. 무리하지 않고 수량을 제한해 대응하겠습니다.,ad940d3974dd9a32b33e93cc32263c6301cde3e0615bed330ae9b3a07950b747,like,"[""상위 수익자"", ""자산가"", ""커뮤니티 인플루언서""]",null,minimal,2026-02-27,2026-02-27,2,2,read_pm,False,community:2026-02-27:t2:post:1:selected_full_body:A003
simulation_20260730_142539_303644_68577,2026-03-03,3,A001,,2,full_body,False,True,곰-1801,오늘 삼성전자 흐름 메모,impression,가격 흐름과 뉴스가 엇갈려 보입니다. 무리하지 않고 수량을 제한해 대응하겠습니다.,ad940d3974dd9a32b33e93cc32263c6301cde3e0615bed330ae9b3a07950b747,,[],null,minimal,2026-02-27,2026-03-03,2,3,delivered_am,False,community:2026-02-27:t2:post:2:best_full_body:A001:delivered_t3
simulation_20260730_142539_303644_68577,2026-03-03,3,A001,,2,full_body,True,False,곰-1801,오늘 삼성전자 흐름 메모,impression,가격 흐름과 뉴스가 엇갈려 보입니다. 무리하지 않고 수량을 제한해 대응하겠습니다.,ad940d3974dd9a32b33e93cc32263c6301cde3e0615bed330ae9b3a07950b747,like,[],null,minimal,2026-02-27,2026-03-03,2,3,delivered_am,True,community:2026-02-27:t2:post:2:selected_full_body_replay:A001:delivered_t3
simulation_20260730_142539_303644_68577,2026-03-03,3,A002,,1,full_body,False,True,호랑이-8886,오늘 삼성전자 흐름 메모,impression,가격 흐름과 뉴스가 엇갈려 보입니다. 무리하지 않고 수량을 제한해 대응하겠습니다.,ad940d3974dd9a32b33e93cc32263c6301cde3e0615bed330ae9b3a07950b747,,"[""상위 수익자"", ""자산가"", ""커뮤니티 인플루언서""]",null,minimal,2026-02-27,2026-03-03,2,3,delivered_am,False,community:2026-02-27:t2:post:1:best_full_body:A002:delivered_t3
simulation_20260730_142539_303644_68577,2026-03-03,3,A002,,2,full_body,False,True,곰-1801,오늘 삼성전자 흐름 메모,impression,가격 흐름과 뉴스가 엇갈려 보입니다. 무리하지 않고 수량을 제한해 대응하겠습니다.,ad940d3974dd9a32b33e93cc32263c6301cde3e0615bed330ae9b3a07950b747,,[],null,minimal,2026-02-27,2026-03-03,2,3,delivered_am,False,community:2026-02-27:t2:post:2:best_full_body:A002:delivered_t3
simulation_20260730_142539_303644_68577,2026-03-03,3,A003,,1,full_body,False,True,호랑이-8886,오늘 삼성전자 흐름 메모,impression,가격 흐름과 뉴스가 엇갈려 보입니다. 무리하지 않고 수량을 제한해 대응하겠습니다.,ad940d3974dd9a32b33e93cc32263c6301cde3e0615bed330ae9b3a07950b747,,"[""상위 수익자"", ""자산가"", ""커뮤니티 인플루언서""]",null,minimal,2026-02-27,2026-03-03,2,3,delivered_am,False,community:2026-02-27:t2:post:1:best_full_body:A003:delivered_t3
simulation_20260730_142539_303644_68577,2026-03-03,3,A003,,1,full_body,True,False,호랑이-8886,오늘 삼성전자 흐름 메모,impression,가격 흐름과 뉴스가 엇갈려 보입니다. 무리하지 않고 수량을 제한해 대응하겠습니다.,ad940d3974dd9a32b33e93cc32263c6301cde3e0615bed330ae9b3a07950b747,like,"[""상위 수익자"", ""자산가"", ""커뮤니티 인플루언서""]",null,minimal,2026-02-27,2026-03-03,2,3,delivered_am,True,community:2026-02-27:t2:post:1:selected_full_body_replay:A003:delivered_t3
