run_id,date,turn,subturn,agent_id,source_ltb_id,source_stb_id,analysis_id,decision_id,fill_id,post_fill_ltb_id,decision_date,market_features_date,news_start_date,news_start_time,news_max_date,news_end_time,execution_date,information_mode,stock_code,action,quantity,reason,decision_attempts,decision_origin,one_share_reason
simulation_20260730_142539_303644_68577,2026-02-27,1,am,A001,ltb_A001_t000,stb_A001_t001,analysis_A001_t001,decision_A001_t001,,,2026-02-27,2026-02-26,2026-02-26,15:30,2026-02-27,08:59,2026-02-27,pre_close_cutoff,005930,buy,10,두 belief와 실행 제약을 함께 고려한 제한적 거래다.,1,llm_first_response,not_one_share
simulation_20260730_142539_303644_68577,2026-02-27,1,am,A002,ltb_A002_t000,stb_A002_t001,analysis_A002_t001,decision_A002_t001,,,2026-02-27,2026-02-26,2026-02-26,15:30,2026-02-27,08:59,2026-02-27,pre_close_cutoff,005930,buy,10,두 belief와 실행 제약을 함께 고려한 제한적 거래다.,1,llm_first_response,not_one_share
simulation_20260730_142539_303644_68577,2026-02-27,1,am,A003,ltb_A003_t000,stb_A003_t001,analysis_A003_t001,decision_A003_t001,,,2026-02-27,2026-02-26,2026-02-26,15:30,2026-02-27,08:59,2026-02-27,pre_close_cutoff,005930,buy,10,두 belief와 실행 제약을 함께 고려한 제한적 거래다.,1,llm_first_response,not_one_share
simulation_20260730_142539_303644_68577,2026-02-27,2,pm,A001,ltb_A001_t001,stb_A001_t002,analysis_A001_t002,decision_A001_t002,,,2026-02-27,2026-02-27,2026-02-27,09:00,2026-02-27,15:29,2026-02-27,pre_close_cutoff,005930,buy,10,두 belief와 실행 제약을 함께 고려한 제한적 거래다.,1,llm_first_response,not_one_share
simulation_20260730_142539_303644_68577,2026-02-27,2,pm,A002,ltb_A002_t001,stb_A002_t002,analysis_A002_t002,decision_A002_t002,,,2026-02-27,2026-02-27,2026-02-27,09:00,2026-02-27,15:29,2026-02-27,pre_close_cutoff,005930,buy,10,두 belief와 실행 제약을 함께 고려한 제한적 거래다.,1,llm_first_response,not_one_share
simulation_20260730_142539_303644_68577,2026-02-27,2,pm,A003,ltb_A003_t001,stb_A003_t002,analysis_A003_t002,decision_A003_t002,,,2026-02-27,2026-02-27,2026-02-27,09:00,2026-02-27,15:29,2026-02-27,pre_close_cutoff,005930,buy,10,두 belief와 실행 제약을 함께 고려한 제한적 거래다.,1,llm_first_response,not_one_share
simulation_20260730_142539_303644_68577,2026-03-03,3,am,A001,ltb_A001_t002,stb_A001_t003,analysis_A001_t003,decision_A001_t003,,,2026-03-03,2026-02-27,2026-02-27,15:30,2026-03-03,08:59,2026-03-03,pre_close_cutoff,005930,buy,10,두 belief와 실행 제약을 함께 고려한 제한적 거래다.,1,llm_first_response,not_one_share
simulation_20260730_142539_303644_68577,2026-03-03,3,am,A002,ltb_A002_t002,stb_A002_t003,analysis_A002_t003,decision_A002_t003,,,2026-03-03,2026-02-27,2026-02-27,15:30,2026-03-03,08:59,2026-03-03,pre_close_cutoff,005930,buy,10,두 belief와 실행 제약을 함께 고려한 제한적 거래다.,1,llm_first_response,not_one_share
simulation_20260730_142539_303644_68577,2026-03-03,3,am,A003,ltb_A003_t002,stb_A003_t003,analysis_A003_t003,decision_A003_t003,,,2026-03-03,2026-02-27,2026-02-27,15:30,2026-03-03,08:59,2026-03-03,pre_close_cutoff,005930,buy,10,두 belief와 실행 제약을 함께 고려한 제한적 거래다.,1,llm_first_response,not_one_share
simulation_20260730_142539_303644_68577,2026-03-03,4,pm,A001,ltb_A001_t003,stb_A001_t004,analysis_A001_t004,decision_A001_t004,,,2026-03-03,2026-03-03,2026-03-03,09:00,2026-03-03,15:29,2026-03-03,pre_close_cutoff,005930,buy,10,두 belief와 실행 제약을 함께 고려한 제한적 거래다.,1,llm_first_response,not_one_share
simulation_20260730_142539_303644_68577,2026-03-03,4,pm,A002,ltb_A002_t003,stb_A002_t004,analysis_A002_t004,decision_A002_t004,,,2026-03-03,2026-03-03,2026-03-03,09:00,2026-03-03,15:29,2026-03-03,pre_close_cutoff,005930,buy,10,두 belief와 실행 제약을 함께 고려한 제한적 거래다.,1,llm_first_response,not_one_share
simulation_20260730_142539_303644_68577,2026-03-03,4,pm,A003,ltb_A003_t003,stb_A003_t004,analysis_A003_t004,decision_A003_t004,,,2026-03-03,2026-03-03,2026-03-03,09:00,2026-03-03,15:29,2026-03-03,pre_close_cutoff,005930,buy,10,두 belief와 실행 제약을 함께 고려한 제한적 거래다.,1,llm_first_response,not_one_share
