run_id,date,turn,subturn,stock_code,submitted_orders,announced_price,close_price,volume,fill_count
RN_COMM_OFF,2026-02-27,1,am,005930,100,210000.0,210000.0,30346,100
RN_COMM_OFF,2026-02-27,2,pm,005930,100,216500.0,216500.0,16756,100
RN_COMM_OFF,2026-03-03,3,am,005930,100,209500.0,209500.0,15161,100
RN_COMM_OFF,2026-03-03,4,pm,005930,100,195100.0,195100.0,24862,100
RN_COMM_OFF,2026-03-04,5,am,005930,100,184200.0,184200.0,20765,100
RN_COMM_OFF,2026-03-04,6,pm,005930,100,172200.0,172200.0,20157,100
RN_COMM_OFF,2026-03-05,7,am,005930,100,195000.0,195000.0,20907,100
RN_COMM_OFF,2026-03-05,8,pm,005930,100,191600.0,191600.0,18881,100
RN_COMM_OFF,2026-03-06,9,am,005930,100,186100.0,186100.0,14255,100
RN_COMM_OFF,2026-03-06,10,pm,005930,100,188200.0,188200.0,20853,100
RN_COMM_OFF,2026-03-09,11,am,005930,100,173500.0,173500.0,21095,100
