run_id,date,turn,agent_id,selected_post_ids,post_id,exposure_level,selected,is_best,anonymous_code,title,post_type,content,body_sha256,reaction,author_profile,profile_scope,source_date,delivery_date,source_turn,delivery_turn,delivery_status,replay,provenance_id
RN_COMM_ON,2026-02-27,2,A007,"[11, 16, 24, 35, 45]",1,title_only,False,False,호랑이-8886,저평가 구간이라 과감히 매수했습니다! (삼성전자),trade_share,,,,,candidate_minimal,2026-02-27,2026-02-27,2,2,candidate_seen_pm,False,community:2026-02-27:t2:post:1:title_only:A007
RN_COMM_ON,2026-02-27,2,A007,"[11, 16, 24, 35, 45]",2,title_only,False,False,곰-1801,PER 10 배 진입 성공! 오늘 3% 수익 확정,profit_share,,,,,candidate_minimal,2026-02-27,2026-02-27,2,2,candidate_seen_pm,False,community:2026-02-27:t2:post:2:title_only:A007
RN_COMM_ON,2026-02-27,2,A007,"[11, 16, 24, 35, 45]",3,title_only,False,False,코끼리-6457,반도체 슈퍼사이클? 오늘 일부 수익 확정하고 나옵니다!,trade_share,,,,,candidate_minimal,2026-02-27,2026-02-27,2,2,candidate_seen_pm,False,community:2026-02-27:t2:post:3:title_only:A007
RN_COMM_ON,2026-02-27,2,A007,"[11, 16, 24, 35, 45]",4,title_only,False,False,황소-9750,21 만 원대 매수 완료! 저평가 구간에서의 여유 있는 한 주,trade_share,,,,,candidate_minimal,2026-02-27,2026-02-27,2,2,candidate_seen_pm,False,community:2026-02-27:t2:post:4:title_only:A007
RN_COMM_ON,2026-02-27,2,A007,"[11, 16, 24, 35, 45]",5,title_only,False,False,늑대-8884,외국인 매도세에도 개미들이 뚫고 올라가네요. 오늘 추가 매수!,trade_share,,,,,candidate_minimal,2026-02-27,2026-02-27,2,2,candidate_seen_pm,False,community:2026-02-27:t2:post:5:title_only:A007
RN_COMM_ON,2026-02-27,2,A007,"[11, 16, 24, 35, 45]",7,title_only,False,False,여우-7933,드디어 삼성전기에 진입! AI 슈퍼사이클 타겠습니다 🚀,trade_share,,,,,candidate_minimal,2026-02-27,2026-02-27,2,2,candidate_seen_pm,False,community:2026-02-27:t2:post:7:title_only:A007
RN_COMM_ON,2026-02-27,2,A007,"[11, 16, 24, 35, 45]",8,title_only,False,False,펭귄-3788,"PER 10 배 저평가 구간, 조금 더 모았습니다.",trade_share,,,,,candidate_minimal,2026-02-27,2026-02-27,2,2,candidate_seen_pm,False,community:2026-02-27:t2:post:8:title_only:A007
RN_COMM_ON,2026-02-27,2,A007,"[11, 16, 24, 35, 45]",9,title_only,False,False,돌고래-5489,전일 매수 후 오늘 3% 수익 실현! 저평가 구간에서 감탄합니다.,profit_share,,,,,candidate_minimal,2026-02-27,2026-02-27,2,2,candidate_seen_pm,False,community:2026-02-27:t2:post:9:title_only:A007
RN_COMM_ON,2026-02-27,2,A007,"[11, 16, 24, 35, 45]",10,title_only,False,False,사자-8665,21 만 원대 진입 성공! 오늘 3% 수익 확정 (삼성전자),profit_share,,,,,candidate_minimal,2026-02-27,2026-02-27,2,2,candidate_seen_pm,False,community:2026-02-27:t2:post:10:title_only:A007
RN_COMM_ON,2026-02-27,2,A007,"[11, 16, 24, 35, 45]",11,title_only,True,False,사자-5895,"엔비디아 충격에 흔들렸지만, 차익실현 타이밍은 잘 잡았다!",trade_share,,,,,candidate_minimal,2026-02-27,2026-02-27,2,2,candidate_seen_pm,False,community:2026-02-27:t2:post:11:title_only:A007
RN_COMM_ON,2026-02-27,2,A007,"[11, 16, 24, 35, 45]",12,title_only,False,False,코끼리-2877,전일 매수 적중! 외국인의 매도 물량에 흔들리지 않기,profit_share,,,,,candidate_minimal,2026-02-27,2026-02-27,2,2,candidate_seen_pm,False,community:2026-02-27:t2:post:12:title_only:A007
RN_COMM_ON,2026-02-27,2,A007,"[11, 16, 24, 35, 45]",13,title_only,False,False,사자-5055,"외인 대량 매도 속, 저평가 구간에서 조금 더 채워봅니다",trade_share,,,,,candidate_minimal,2026-02-27,2026-02-27,2,2,candidate_seen_pm,False,community:2026-02-27:t2:post:13:title_only:A007
RN_COMM_ON,2026-02-27,2,A007,"[11, 16, 24, 35, 45]",14,title_only,False,False,곰-1911,변동성 속에서도 틈을 타 추가 매수했습니다.,trade_share,,,,,candidate_minimal,2026-02-27,2026-02-27,2,2,candidate_seen_pm,False,community:2026-02-27:t2:post:14:title_only:A007
RN_COMM_ON,2026-02-27,2,A007,"[11, 16, 24, 35, 45]",15,title_only,False,False,곰-9761,차익실현 완료! PER 10 배 구간에서 팔고 보니 마음이 편하네요.,profit_share,,,,,candidate_minimal,2026-02-27,2026-02-27,2,2,candidate_seen_pm,False,community:2026-02-27:t2:post:15:title_only:A007
RN_COMM_ON,2026-02-27,2,A007,"[11, 16, 24, 35, 45]",16,title_only,True,False,황소-8760,외국인 매도세에 부분 청산... 잔여 포지션은 AI 기대감으로 버티겠습니다.,trade_share,,,,,candidate_minimal,2026-02-27,2026-02-27,2,2,candidate_seen_pm,False,community:2026-02-27:t2:post:16:title_only:A007
RN_COMM_ON,2026-02-27,2,A007,"[11, 16, 24, 35, 45]",17,title_only,False,False,돌고래-5159,"제주에서 본 삼성전자의 오늘, 고소공포증은 무조건이 아니네요",trade_share,,,,,candidate_minimal,2026-02-27,2026-02-27,2,2,candidate_seen_pm,False,community:2026-02-27:t2:post:17:title_only:A007
