run_id,date,turn,subturn,stock_code,agent_id,action,quantity,executed_price,status
chunk_011_2026-05-13_2026-05-19,2026-05-13,1,am,005930,A001,buy,189,264000.0,filled
chunk_011_2026-05-13_2026-05-19,2026-05-13,1,am,005930,A002,buy,189,264000.0,filled
chunk_011_2026-05-13_2026-05-19,2026-05-13,1,am,005930,A003,buy,150,264000.0,filled
chunk_011_2026-05-13_2026-05-19,2026-05-13,1,am,005930,A004,buy,100,264000.0,filled
chunk_011_2026-05-13_2026-05-19,2026-05-13,1,am,005930,A005,buy,150,264000.0,filled
chunk_011_2026-05-13_2026-05-19,2026-05-13,1,am,005930,A006,buy,189,264000.0,filled
chunk_011_2026-05-13_2026-05-19,2026-05-13,1,am,005930,A007,buy,189,264000.0,filled
chunk_011_2026-05-13_2026-05-19,2026-05-13,1,am,005930,A008,buy,150,264000.0,filled
chunk_011_2026-05-13_2026-05-19,2026-05-13,1,am,005930,A009,buy,100,264000.0,filled
chunk_011_2026-05-13_2026-05-19,2026-05-13,1,am,005930,A010,buy,189,264000.0,filled
chunk_011_2026-05-13_2026-05-19,2026-05-13,1,am,005930,A011,buy,189,264000.0,filled
chunk_011_2026-05-13_2026-05-19,2026-05-13,1,am,005930,A012,buy,150,264000.0,filled
chunk_011_2026-05-13_2026-05-19,2026-05-13,1,am,005930,A013,buy,189,264000.0,filled
chunk_011_2026-05-13_2026-05-19,2026-05-13,1,am,005930,A014,buy,100,264000.0,filled
chunk_011_2026-05-13_2026-05-19,2026-05-13,1,am,005930,A015,buy,100,264000.0,filled
chunk_011_2026-05-13_2026-05-19,2026-05-13,1,am,005930,A016,buy,100,264000.0,filled
chunk_011_2026-05-13_2026-05-19,2026-05-13,1,am,005930,A017,buy,189,264000.0,filled
chunk_011_2026-05-13_2026-05-19,2026-05-13,1,am,005930,A018,buy,189,264000.0,filled
chunk_011_2026-05-13_2026-05-19,2026-05-13,1,am,005930,A019,buy,150,264000.0,filled
chunk_011_2026-05-13_2026-05-19,2026-05-13,1,am,005930,A020,buy,189,264000.0,filled
chunk_011_2026-05-13_2026-05-19,2026-05-13,1,am,005930,A021,buy,100,264000.0,filled
chunk_011_2026-05-13_2026-05-19,2026-05-13,1,am,005930,A022,buy,150,264000.0,filled
chunk_011_2026-05-13_2026-05-19,2026-05-13,1,am,005930,A023,buy,189,264000.0,filled
chunk_011_2026-05-13_2026-05-19,2026-05-13,1,am,005930,A024,buy,189,264000.0,filled
chunk_011_2026-05-13_2026-05-19,2026-05-13,1,am,005930,A025,buy,100,264000.0,filled
chunk_011_2026-05-13_2026-05-19,2026-05-13,1,am,005930,A026,buy,189,264000.0,filled
chunk_011_2026-05-13_2026-05-19,2026-05-13,1,am,005930,A027,buy,100,264000.0,filled
chunk_011_2026-05-13_2026-05-19,2026-05-13,1,am,005930,A028,buy,150,264000.0,filled
chunk_011_2026-05-13_2026-05-19,2026-05-13,1,am,005930,A029,buy,189,264000.0,filled
chunk_011_2026-05-13_2026-05-19,2026-05-13,1,am,005930,A030,buy,100,264000.0,filled
chunk_011_2026-05-13_2026-05-19,2026-05-13,2,pm,005930,A003,buy,20,284000.0,filled
chunk_011_2026-05-13_2026-05-19,2026-05-13,2,pm,005930,A008,buy,50,284000.0,filled
chunk_011_2026-05-13_2026-05-19,2026-05-13,2,pm,005930,A009,buy,50,284000.0,filled
chunk_011_2026-05-13_2026-05-19,2026-05-13,2,pm,005930,A011,buy,30,284000.0,filled
chunk_011_2026-05-13_2026-05-19,2026-05-13,2,pm,005930,A016,buy,50,284000.0,filled
chunk_011_2026-05-13_2026-05-19,2026-05-13,2,pm,005930,A024,buy,60,284000.0,filled
chunk_011_2026-05-13_2026-05-19,2026-05-13,2,pm,005930,A028,buy,50,284000.0,filled
chunk_011_2026-05-13_2026-05-19,2026-05-13,2,pm,005930,A029,buy,80,284000.0,filled
chunk_011_2026-05-13_2026-05-19,2026-05-13,2,pm,005930,A001,sell,10,284000.0,filled
chunk_011_2026-05-13_2026-05-19,2026-05-13,2,pm,005930,A002,sell,50,284000.0,filled
chunk_011_2026-05-13_2026-05-19,2026-05-13,2,pm,005930,A004,sell,100,284000.0,filled
chunk_011_2026-05-13_2026-05-19,2026-05-13,2,pm,005930,A005,sell,50,284000.0,filled
chunk_011_2026-05-13_2026-05-19,2026-05-13,2,pm,005930,A006,sell,50,284000.0,filled
chunk_011_2026-05-13_2026-05-19,2026-05-13,2,pm,005930,A007,sell,50,284000.0,filled
chunk_011_2026-05-13_2026-05-19,2026-05-13,2,pm,005930,A010,sell,10,284000.0,filled
chunk_011_2026-05-13_2026-05-19,2026-05-13,2,pm,005930,A012,sell,100,284000.0,filled
chunk_011_2026-05-13_2026-05-19,2026-05-13,2,pm,005930,A013,sell,50,284000.0,filled
chunk_011_2026-05-13_2026-05-19,2026-05-13,2,pm,005930,A014,sell,100,284000.0,filled
chunk_011_2026-05-13_2026-05-19,2026-05-13,2,pm,005930,A015,sell,1,284000.0,filled
chunk_011_2026-05-13_2026-05-19,2026-05-13,2,pm,005930,A017,sell,50,284000.0,filled
chunk_011_2026-05-13_2026-05-19,2026-05-13,2,pm,005930,A018,sell,100,284000.0,filled
chunk_011_2026-05-13_2026-05-19,2026-05-13,2,pm,005930,A019,sell,50,284000.0,filled
chunk_011_2026-05-13_2026-05-19,2026-05-13,2,pm,005930,A020,sell,50,284000.0,filled
chunk_011_2026-05-13_2026-05-19,2026-05-13,2,pm,005930,A021,sell,50,284000.0,filled
chunk_011_2026-05-13_2026-05-19,2026-05-13,2,pm,005930,A022,sell,50,284000.0,filled
chunk_011_2026-05-13_2026-05-19,2026-05-13,2,pm,005930,A023,sell,50,284000.0,filled
chunk_011_2026-05-13_2026-05-19,2026-05-13,2,pm,005930,A025,sell,100,284000.0,filled
chunk_011_2026-05-13_2026-05-19,2026-05-13,2,pm,005930,A026,sell,50,284000.0,filled
chunk_011_2026-05-13_2026-05-19,2026-05-13,2,pm,005930,A027,sell,100,284000.0,filled
chunk_011_2026-05-13_2026-05-19,2026-05-13,2,pm,005930,A030,sell,100,284000.0,filled
chunk_011_2026-05-13_2026-05-19,2026-05-14,3,am,005930,A004,buy,100,282000.0,filled
chunk_011_2026-05-13_2026-05-19,2026-05-14,3,am,005930,A005,buy,30,282000.0,filled
chunk_011_2026-05-13_2026-05-19,2026-05-14,3,am,005930,A007,buy,100,282000.0,filled
