run_id,date,turn,subturn,stock_code,submitted_orders,announced_price,close_price,volume,fill_count
chunk_004_2026-03-23_2026-03-27,2026-03-23,1,am,005930,30,190500.0,186300.0,5556,30
chunk_004_2026-03-23_2026-03-27,2026-03-23,2,pm,005930,30,186300.0,186300.0,3567,30
chunk_004_2026-03-23_2026-03-27,2026-03-24,3,am,005930,30,195500.0,189700.0,2389,30
chunk_004_2026-03-23_2026-03-27,2026-03-24,4,pm,005930,30,189700.0,189700.0,2623,30
chunk_004_2026-03-23_2026-03-27,2026-03-25,5,am,005930,30,193700.0,189000.0,2149,30
chunk_004_2026-03-23_2026-03-27,2026-03-25,6,pm,005930,30,189000.0,189000.0,2165,30
chunk_004_2026-03-23_2026-03-27,2026-03-26,7,am,005930,30,185500.0,180100.0,2180,30
chunk_004_2026-03-23_2026-03-27,2026-03-26,8,pm,005930,30,180100.0,180100.0,2161,30
chunk_004_2026-03-23_2026-03-27,2026-03-27,9,am,005930,30,172100.0,179700.0,1629,30
chunk_004_2026-03-23_2026-03-27,2026-03-27,10,pm,005930,30,179700.0,179700.0,1309,30
